original_id,document,label,ref,gen,summac_zs,summac_conv
26564061,"The UK stage of the race comes to the city on 7 July.
Cycling enthusiast Rad Wagon is recruiting people to knit 3,000 miniature ""Tour jerseys"" and wool-covered bicycle wheels.
Schools and knitting groups have already offered to start knitting and the council was ""interested"", he said.
A similar ""mini-jersey"" idea is being promoted by Harrogate Borough Council for the Yorkshire stage of the race.
The public response to that was so overwhelming the council had to ask people not to send any more knitting to them.
""It's a bit copycat but we can do so much more,"" Mr Wagon said.
""The city's well-known for its knitters and 'yarn bombers' who cover everything from bikes to trees to lamp-posts. It's 'very Cambridge'.
""I think knitting is in Cambridge's DNA,"" he added.
Mr Wagon, a cycling skills and bicycle maintenance trainer from Outspoken Training in the city, said he was a fan not only of the Tour de France, but the cultural activities surrounding it.
""It isn't just a bike race. Its history is all about promoting your town and region and that's something we can do.
""The world's eyes will be on us and it's a chance for us to show that Cambridge can do things slightly differently, and perhaps slightly oddly,"" he said.
A knitting shop owner has offered to give knitting lessons and collect the tiny pullovers, Mr Wagon said.
A cycle shop in the city has also offered a collection of battered wheels which Mr Wagon hopes can also be turned into knitted decorations.
He said he was discussing suitable places his knitted bunting might go, with the city council.",reconstructable,"A man who admits he ""cannot knit a stitch"" is hoping to cover the streets of Cambridge with knitted bunting and wool artwork during the Tour de France.",Knitters in Cambridge are being asked to make bunting for the Tour de France.,-0.6897354125976562,0.218253955245018
27709982,"The engineering firm says the £250m expansion of its Malmesbury headquarters will eventually bring 3,000 new jobs to the town.
Planning conditions have been added regarding archaeological issues and addressing site access, along with concerns about increased traffic.
The expansion is expected to be the largest in the firm's 20-year history.
A spokesperson for Dyson said the decision was just one part of a number of stages in the planning process and they did not want to comment further.",unsure,Outline plans to double the size of Dyson's research centre in Wiltshire have been approved by planners.,Plans for a major expansion at Dyson's Wiltshire headquarters have been approved by councillors.,-0.16141891479492188,0.20364519953727722
27818549,"The new boathouse, which will replace the existing building on Foreshore Road, will be home to a new £2m Shannon class lifeboat.
The Royal National Lifeboat Institution (RNLI) said building work would begin in autumn and take a year to finish.
Plans were approved by Scarborough Borough Council's planning and development committee.
RNLI divisional operations manager Andrew Ashton said: ""We're delighted that the plans have been approved today and this heralds an exciting new era in Scarborough RNLI's rich and long lifesaving history.""
The lifeboat station will be funded from various RNLI sources including legacies, donations and fundraising activities.
The Shannon class lifeboat will replace Scarborough's current Mersey class lifeboat in 2016.
John Senior, Scarborough RNLI lifeboat operations manager, said: ""While it will be a shame to say a fond farewell to our existing facilities, which have served us admirably over the decades, it's time to look to the future.""
Plans for the lifeboat station were approved despite a number of objections from local residents who claimed the building would not ""blend in with existing buildings"", with one branding it a ""monstrosity"".",unreconstructable,Plans for a new £3m lifeboat station in Scarborough have been approved by the town's council.,Plans for a new £10m lifeboat station in Scarborough have been approved.,-0.06685638427734375,0.2084324061870575
27908841,"The live broadcast of John Adams's The Death of Klinghoffer was scheduled for 15 November.
The opera set to be performed this autumn portrays the hijacking of the Achille Lauro cruise ship by the Palestine Liberation Front in 1985.
Jewish American passenger Leon Klinghoffer was killed in the attack
""I'm convinced that the opera is not anti-Semitic,"" the Met's General Manager, Peter Gelb, wrote in a statement.
""But I've also become convinced that there is genuine concern in the international Jewish community that the live transmission of The Death of Klinghoffer would be inappropriate at this time of rising anti-Semitism, particularly in Europe.""
The decision was taken after discussions between Mr Gelb and the Anti-Defamation League, which represented Klinghoffer's children.
Mr Adams criticised the decision, telling Associated Press news agency the opera ""in no form condones or promotes violence, terrorism or anti-Semitism"".
The Achille Lauro had been sailing the Mediterranean on 7 October 1985 when the gang - members of a splinter group of Yasser Arafat's Palestinian Liberation Organisation - attacked.
During a two-day standoff, the group demanded the release of a number of Palestinian prisoners and killed Klinghoffer, 69, before throwing him overboard.
The Palestinian militants initially escaped after allowing the Achille Lauro to dock in Egypt.
Later, the US military intercepted an Egyptian plane which the hijackers were using to flee and forced it to land in Sicily, where the four hijackers were arrested.
Youssef Magied al-Molqui, the leader of the group which overtook the Achille Lauro, was released from an Italian prison in 2009 after serving nearly 24 years.",unreconstructable,New York's Metropolitan Opera has cancelled plans for a global HD broadcast of a performance amid fears it could spark anti-Semitic sentiment.,New York's Metropolitan Opera has cancelled a live broadcast of an opera about the murder of an American passenger by Palestinian hijackers.,-0.7534217834472656,0.21207685768604279
28053793,"The UK foreign secretary announced on Twitter he had arrived in Irbil to meet Kurdish regional government officials.
He discussed ways of curbing militants' access to finance and arms.
Mr Hague, who held talks with Iraqi Prime Minister Nouri Maliki on Thursday, has warned that the country is facing an ""existential threat"".
The Iraqi authorities are desperately seeking to repel Sunni militants, led by the Islamic State in Iraq and the Levant (Isis), which have taken control of parts of the north and west of the country.
The government has bought second-hand jet fighters from Russia and Belarus to try to stem the insurgents' advances.
The UK has ruled out any direct military help, focusing instead on providing diplomatic and humanitarian support as well as counter-terrorism co-operation.
Speaking at a press conference with Masoud Barzani, president of the Kurdistan region, Mr Hague said the UK would press for action at the UN to stem the flow of arms from insurgents and stop their access to finance.
""I think it will be important in this new and deeply concerning situation to make sure that every loophole is being dealt with to make sure it is difficult for terrorist groups to use economic assets they have seized, to take advantage of the financial system,"" he said.
""I feel it will be necessary to have new and strong international agreement on how to tackle these things.""
The BBC's Jim Muir in Irbil said Mr Hague was pressed over whether he backed calls from many Sunni and Kurdish leaders for Mr Maliki to stand down to aid a process of reconciliation.
He repeated his calls for Mr Maliki to form an ""inclusive"" government which could ""command the support"" of all Iraqis and to settle long-standing disputes with the Kurdish region over energy and resources.
""I found in Baghdad a strong consciousness of the need for a new and inclusive government that creates a stronger sense of partnership between Shias and Sunnis and Kurds,"" he said.
""It's not for us from any other country to say who should be the prime minister of Iraq.
""But of course we do want to see a government formed in which people all across the country feel they have a genuine stake and representation.""",unreconstructable,William Hague has held talks with Kurdish leaders about international efforts to confront Islamist extremists threatening to overrun parts of Iraq.,William Hague has become the first serving foreign secretary to visit Iraq's autonomous Kurdistan region.,-0.73876953125,0.2175411731004715
28342620,"The Ghanaian midfielder signed a one-year deal after impressing on trial.
Buaben left Carlisle in May and joins ex-Dundee United team-mate Morgaro Gomis and fellow new signings James Keatings, Soufian El Hassnaoui, Neil Alexander and Alim Ozturk.
""It's great that Prince has put pen to paper,"" head coach Robbie Neilson told the official Hearts website.
""He's been at training for the last two weeks and he's played a few games for us.
""He's looking good and he's a top player. He's played in the SPL for a long time and he's played in England at a very high level so I'm pleased to get him.
""He gives us a bit of strength in there. We've got some good options now in the middle of the field. He's a good character as well.
""He hadn't done a pre-season after he finished up last season so I just wanted to see where he was and he's a fit guy.
""If this is the condition he's in, having only trained for just over a week, then I'm looking forward to seeing what we can get out of him in two or three weeks time.""
Buaben moved to Dundee United in 2007 and was part of the side that won the Scottish Cup in 2010.
He also had a short spell on loan last season at Partick Thistle.",unsure,Prince Buaben has become Hearts' sixth summer signing after agreeing terms with the Tynecastle club.,Prince Buaben has become Hearts' seventh summer signing.,-0.02526092529296875,0.2173454314470291
28748993,"Judge Angela Finnerty said the woman should not have brought the child to England until a family court in Japan had resolved a dispute she was having with the her estranged husband.
The judge's decision has been revealed in a written ruling.
It follows a hearing in the Family Division of the High Court in London.
No-one involved was identified.
The father had asked Judge Finnerty to order his son's return to Japan under the terms of international civil legislation relating to child abduction.
Judge Finnerty said the man and woman - who had worked at different universities in Japan - split in 2013 after marrying nine years ago.
They had reached an agreement about sharing care of their son after mediation in Japan.
The woman had then been offered a post at Cambridge and said she wanted to take the child with her. The man objected.
She had flown to the UK with the boy before a court in Tokyo had ruled on the dispute.
""I am satisfied that (the boy) has been retained in the United Kingdom unlawfully in breach of the father's custody rights,"" said Judge Finnerty.",unreconstructable,"A Cambridge University academic has been ordered to return her seven-year-old son to his father in Japan, a family court has ruled.",A four-year-old boy has been returned to his Japanese father after a High Court judge ruled that his mother had taken him to the UK unlawfully.,-0.885833740234375,0.2215697467327118
28802997,"The 22-year-old Scotland international made five appearances for Leeds in 2012 and was released by the Rhinos at the end of the 2013 Super League season.
Hood will join his former Leeds team-mate Ben Jones-Bishop at the Red Devils next season.
""I'm very pleased that I've got this chance again and I'm going to take it with both hands,"" said Hood.
He told BBC Radio Manchester: ""It's a massive challenge. I've had a couple of years out of top-flight rugby and it's a big change.
""You don't realise how much it benefits you being full-time. I'm really looking forward to getting back into it.""",unreconstructable,Salford Red Devils have signed hooker Liam Hood from Championship One Hunslet Hawks on a two-year deal from 2015.,Salford Red Devils have signed full-back Jamie Hood on a two-year deal.,-0.065765380859375,0.207227885723114
29353194,"Dartmoor Hill Pony Association (DHPA) said it had put forward the idea ""reluctantly"".
The group claims numbers have dropped from about 30,000 at the beginning of the century to just 1,500 in 2011.
The DHPA said if numbers continued to fall, the breed could lose its hardiness to survive on the moor.
It said demand had dropped for the ponies as pets because of the economic downturn.
The ponies were traditionally used for farming, postal deliveries and pulling carts.
Charlotte Faulkner, founder of the DHPA, said in a letter to South West Equine Protection (Swep): ""It has taken years of considering reports and listening to the outcome of meetings to recognise and reluctantly accept that Dartmoor pony herders will only carry on keeping their herds if they have a sustainable market for them.
""We are in real danger of ponies disappearing from Dartmoor altogether.""
Ms Faulkner said selling ponies for riding and driving would continue.
""The Dartmoor Hill Pony Association believes the meat trade should be (used) too,"" she said. ""Strangely, having a meat trade should improve a pony's chances of finding a new home at sale.""
Becky Treeby, of Swep, said: ""Dartmoor hill ponies were there for a reason, for ecology purposes to keep grass on the moors down, and they have been there for thousands of years. People have never eaten them before. It is promoting over-breeding for profit.""
You can see more on this story on Inside Out SW on BBC One, Monday 29 September, at 19:30 BST.
Correction 2 December 2014: This story has been amended to clarify that it refers to Dartmoor Hill ponies rather than Dartmoor ponies.",reconstructable,"Dartmoor Hill ponies should be bred for human consumption to ensure their survival on the moor, says a pony group.","The sale of Dartmoor Hill ponies for human consumption should be banned, campaigners have said.",-0.466796875,0.23381541669368744
29414253,"LudoSport has opened its first academy teaching seven forms of combat from the Star Wars world using flexible blades mounted on weighted hilts.
The sport began eight years ago in Italy but has only just come to England with the first classes in Cheltenham.
Instructor Jordan Court said people were already ""hooked"".
The classes in Cheltenham began last month. So far there are six pupils, but this number is expected to increase.
Mr Court attended an international boot camp to learn the different stages of the sport which range in characteristics from defensive in stage one to ""aggressive and flamboyant"" in stage four and ""unpredictable"" in stage seven.
The 34-year-old said fighting with ""an elegant weapon for a more civilized age"" was a childhood dream come true.
""My brother and I used to steal our Mum's bamboo garden canes to fight with,"" he said.
The lightsabers used in the sport are all hand-made and are provided for use during the classes, Mr Court said.
The sport is so new to England that there have only been a handful of classes so far but Mr Court said there were plans to begin teaching in Bristol by the end of October... if ""the Force"" was with the academy.
Lightsaber Combat Academy
There are several ranks for those wishing to become a fully-fledged Jedi Knight:",reconstructable,Star Wars fans are being given the opportunity to become Jedi Knights and learn how to wield lightsabers in combat.,Star Wars fans are being offered the chance to train as a lightsaber-wielding Jedi Knight.,-0.013671875,0.2658531665802002
29437932,"A second bus was hit by a suicide bomber elsewhere in the city, injuring two soldiers and two civilians.
The Taliban said they had carried out the attacks.
The blasts come a day after Afghan and US officials signed a deal letting US troops stay in Afghanistan after the end of 2014.
The agreement was authorised by new Afghan president Ashraf Ghani, who was sworn in on Monday.
On that same day, two bombs killed at least 15 people in Kabul and Paktia provinces.
Mr Ghani's predecessor, Hamid Karzai, had refused to sign the deal because of a disagreement with the US.
The attack on the army bus took place in western Kabul, and largely destroyed the bus.
""I was walking down the road when a huge explosion occurred,"" shopkeeper Sanaullah Khan told Reuters.
""Right after the blast, I saw dust and smoke rising from the area and then I escaped.""
The second attack took place in northeast Kabul.
The Taliban claimed responsibility for both attacks on Twitter, saying they were a continuation of an offensive which started in the summer.
Under a US-brokered unity deal Mr Ghani shares power with runner-up Abdullah Abdullah who becomes chief executive. The Taliban has called the deal a ""US-orchestrated sham"".",unreconstructable,At least seven Afghan soldiers have died and many were injured after a suicide bomber targeted a bus carrying troops in the Afghan capital Kabul.,"A suicide bomber has attacked an Afghan army bus in the capital, Kabul, killing at least one soldier and wounding 10 others.",-0.5315628051757812,0.2173454314470291
29602130,"The alert began just after midday when police received a report of a suspicious device at the back of business premises on Dunluce Street.
Officers cordoned off the scene and part of the street was closed. It reopened at about 17:30 BST.
The suspect object was examined by Army bomb experts who declared it a hoax device.
Chief Inspector Stephen McCauley said: ""Police acted quickly to keep people safe and away from the suspicious object.
""Many businesses and a few residents in the area were evacuated.
""The lives of local people have been disrupted today and I lay the blame on those who planted the hoax device. Their actions are irresponsible and show disregard for the local community.
""Hoax devices can be very realistic and similar in look to the real thing. Where there is a clear threat to life, police must take action to keep people safe.""",reconstructable,"A security alert in the centre of Larne, County Antrim, has ended and been declared a hoax.",A security alert in west Belfast has ended.,-0.6668472290039062,0.21927081048488617
30215135,"The 35-year-old has been without a club since  at the end of last season.
Morrison scored nine goals in 36 games for Ireland and was part of their squad at the 2002 World Cup.
The striker is available to play for Exeter in their League Two game at Accrington on Friday night.
Morrison began his career at Palace in 1997 and scored 71 goals in 181 games before moving to Birmingham City for club-record fee of £4.25m in 2002.
After three seasons at St Andrews he returned to Palace for £2m before moving to Coventry City in 2008.
He spent two seasons at the Ricoh Arena before moving on to Sheffield Wednesday, and after loans at MK Dons and Brentford, joined Colchester in 2012.",reconstructable,"Exeter City have signed former Republic of Ireland, Crystal Palace and Birmingham City striker Clinton Morrison on non-contract terms.",Former Republic of Ireland and Crystal Palace striker Sean Morrison has joined Exeter City.,-0.03021240234375,0.2107868790626526
30280942,"About 80,000 works of art, ceramics, manuscripts, letters and photographs faced being auctioned to help pay off the pottery firm's pension debt.
But a public fundraising campaign launched in September hit its target in just a month.
Adminstrators Begbies Traynor said the collection will remain on display at the museum in Barlaston, Staffordshire.
The Art Fund, which led the campaign, will gift the collection to the Victoria and Albert Museum, before it is loaned to the Wedgwood Museum.
Administrator Bob Young said it had been ""incredibly satisfying"" to sign off on the sale on Monday.
""Today's fantastic outcome wouldn't have been possible without the spirit of goodwill and determination shown during the often complex negotiations,"" he said.
The Wedgwood Museum inherited Waterford Wedgwood plc's pension bill after the firm collapsed in 2009.
In 2010 the museum also went into administration, and in 2011 a high court judge ruled its collection could be sold to reimburse the Pension Protection Fund.
Alison Wedgwood, whose husband Tom is a direct descendant of company founder Josiah Wedgwood, said the collection was ""important"" for Staffordshire.
The collection risked being ""sold and scattered around the globe"" had the money not been raised, she added.
Tristram Hunt MP, who was involved in the campaign, said the sale was ""fantastic news"".
""The items contained within the Wedgwood collection chart a significant part of Britain's cultural development over centuries and play a crucial part in defining our national identity today,"" he said.",unreconstructable,The Wedgwood Museum collection has been bought from administrators after £15.75m was raised to save it.,The Wedgwood Museum's collection has been sold to the Victoria and Albert Museum for £1.,-0.2791290283203125,0.21330200135707855
30614066,"Mr Weah got 78% of the vote for the Montserrado county seat, which includes the capital Monrovia.
He beat Robert Sirleaf, the son of President Ellen Johnson Sirleaf, who took nearly 11%.
Low turnout in the poll, which was first planned for October, was blamed on concerns about Ebola.
Strict health controls were in place to try to prevent the spread of the disease.
Those who came to polling stations had their temperature taken, were told to stand a metre (3ft) apart and wash their hands before and after voting.
Liberia has been one of the countries worst affected by Ebola, with almost 3,400 deaths, the UN says.
Other winners in the senate elections include Jewel Howard-Taylor, the ex-wife of the jailed former president Charles Taylor, and the former rebel leader Prince Johnson. Both retained their seats.
The National Elections Commission chairman, Jerome Korkoya, called the conclusion of the vote ""the end of a crucial journey"".
Mr Weah won the first round of the 2005 presidential election, losing the runoff to Ms Johnson-Sirleaf.
He is the only African to be named Fifa's world player of the year, winning in 1995.",reconstructable,"The former football star George Weah has won a landslide victory in Liberia's senate elections, in polls disrupted by the Ebola outbreak.",Former Fifa world footballer of the year George Weah has won a seat in Liberia's senate in elections held on Sunday.,-0.557159423828125,0.21486663818359375
30737019,"Karlovic, 35, served 21 aces as the world number one struggled to control his ground strokes in high winds.
In the semi-finals, Karlovic will face Spain's David Ferrer, who overcame Germany's Dustin Brown 6-2 6-2.
Third seed Tomas Berdych from the Czech Republic will face Italy's Andreas Seppi in the other semi.
Berdych saw off France's Richard Gasquet 6-2 6-1, while Seppi enjoyed a 7-5 6-4 victory over Ivan Dodig of Croatia.
But the day belonged to world ranked 27 Karlovic, who recorded his second career win over the Serb having also triumphed at the Madrid Masters in 2008.
Djokovic was nevertheless twice within two points of winning the match in the second set tie-breaker, before dropping serve in the seventh game of the final set.
Karlovic said: ""I was feeling good despite the wind. I know he wasn't able to show his full range.
""I was relaxed and didn't feel I had to do anything extraordinary. I just had to focus on my game.""",reconstructable,Novak Djokovic suffered a surprise loss against Croatia's Ivo Karlovic 6-7 (2-7) 7-6 (8-6) 6-4 in the Qatar Open quarter-finals in Doha.,Novak Djokovic was knocked out of the Qatar Open in the quarter-finals as Croatia's Ivo Karlovic won 7-6 (7-4) 6-7 (5-7) 7-6 (7-4).,-0.2607574462890625,0.21363496780395508
